study_accession	sample_accession	secondary_sample_accession	sample_alias	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	library_source	library_selection	read_count	base_count	experiment_title	fastq_ftp
PRJEB634	SAMEA1712488	ERS188188	101-sc-2012-11-09T12:20:43Z-1500124	ERX209607	ERR235102	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	610447	122089400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235102/ERR235102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235102/ERR235102_2.fastq.gz
PRJEB634	SAMEA1712510	ERS188189	D16291-sc-2012-11-09T12:20:45Z-1500125	ERX209608	ERR235103	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	7487	1497400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235103/ERR235103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235103/ERR235103_2.fastq.gz
PRJEB634	SAMEA1712289	ERS188190	A7897-sc-2012-11-09T12:20:46Z-1500126	ERX209609	ERR235104	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1248912	249782400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235104/ERR235104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235104/ERR235104_2.fastq.gz
PRJEB634	SAMEA1712304	ERS188191	A39959-sc-2012-11-09T12:20:47Z-1500127	ERX209610	ERR235105	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1189884	237976800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235105/ERR235105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235105/ERR235105_2.fastq.gz
PRJEB634	SAMEA1712313	ERS188192	A28721-sc-2012-11-09T12:20:47Z-1500128	ERX209611	ERR235106	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2093752	418750400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235106/ERR235106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235106/ERR235106_2.fastq.gz
PRJEB634	SAMEA1712329	ERS188193	A53601-sc-2012-11-09T12:20:49Z-1500129	ERX209612	ERR235107	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1312449	262489800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235107/ERR235107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235107/ERR235107_2.fastq.gz
PRJEB634	SAMEA1712213	ERS188195	A40882-sc-2012-11-09T12:20:50Z-1500131	ERX209613	ERR235108	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1219584	243916800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235108/ERR235108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235108/ERR235108_2.fastq.gz
PRJEB634	SAMEA1712228	ERS188196	A34142-sc-2012-11-09T12:20:51Z-1500132	ERX209614	ERR235109	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1005477	201095400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235109/ERR235109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235109/ERR235109_2.fastq.gz
PRJEB634	SAMEA1712244	ERS188197	D7419-sc-2012-11-09T12:20:52Z-1500133	ERX209615	ERR235110	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1328200	265640000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235110/ERR235110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235110/ERR235110_2.fastq.gz
PRJEB634	SAMEA1712257	ERS188198	253-sc-2012-11-09T12:20:53Z-1500134	ERX209616	ERR235111	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1979013	395802600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235111/ERR235111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235111/ERR235111_2.fastq.gz
